,Date,Close,Ret
0,2020-01-02,2175.17,-1.02
1,2020-01-03,2176.46,0.06
2,2020-01-06,2155.07,-0.98
3,2020-01-07,2175.54,0.95
4,2020-01-08,2151.31,-1.11
5,2020-01-09,2186.45,1.63
6,2020-01-10,2206.39,0.91
7,2020-01-13,2229.26,1.04
8,2020-01-14,2238.88,0.43
9,2020-01-15,2230.98,-0.35
10,2020-01-16,2248.05,0.77
11,2020-01-17,2250.57,0.11
12,2020-01-20,2262.64,0.54
13,2020-01-21,2239.69,-1.01
14,2020-01-22,2267.25,1.23
15,2020-01-23,2246.13,-0.93
16,2020-01-28,2176.72,-3.09
17,2020-01-29,2185.28,0.39
18,2020-01-30,2148.0,-1.71
19,2020-01-31,2119.01,-1.35
20,2020-02-03,2118.88,-0.01
21,2020-02-04,2157.9,1.84
22,2020-02-05,2165.63,0.36
23,2020-02-06,2227.94,2.88
24,2020-02-07,2211.95,-0.72
25,2020-02-10,2201.07,-0.49
26,2020-02-11,2223.12,1.0
27,2020-02-12,2238.38,0.69
28,2020-02-13,2232.96,-0.24
29,2020-02-14,2243.59,0.48
30,2020-02-17,2242.17,-0.06
31,2020-02-18,2208.88,-1.48
32,2020-02-19,2210.34,0.07
33,2020-02-20,2195.5,-0.67
34,2020-02-21,2162.84,-1.49
35,2020-02-24,2079.04,-3.87
36,2020-02-25,2103.61,1.18
37,2020-02-26,2076.77,-1.28
38,2020-02-27,2054.89,-1.05
39,2020-02-28,1987.01,-3.3
40,2020-03-02,2002.51,0.78
41,2020-03-03,2014.15,0.58
42,2020-03-04,2059.33,2.24
43,2020-03-05,2085.26,1.26
44,2020-03-06,2040.22,-2.16
45,2020-03-09,1954.77,-4.19
46,2020-03-10,1962.93,0.42
47,2020-03-11,1908.27,-2.78
48,2020-03-12,1834.33,-3.87
49,2020-03-13,1771.44,-3.43
50,2020-03-16,1714.86,-3.19
51,2020-03-17,1672.44,-2.47
52,2020-03-18,1591.2,-4.86
53,2020-03-19,1457.64,-8.39
54,2020-03-20,1566.15,7.44
55,2020-03-23,1482.46,-5.34
56,2020-03-24,1609.97,8.6
57,2020-03-25,1704.76,5.89
58,2020-03-26,1686.24,-1.09
59,2020-03-27,1717.73,1.87
60,2020-03-30,1717.12,-0.04
61,2020-03-31,1754.64,2.19
62,2020-04-01,1685.46,-3.94
63,2020-04-02,1724.86,2.34
64,2020-04-03,1725.44,0.03
65,2020-04-06,1791.88,3.85
66,2020-04-07,1823.6,1.77
67,2020-04-08,1807.14,-0.9
68,2020-04-09,1836.21,1.61
69,2020-04-10,1860.7,1.33
70,2020-04-13,1825.76,-1.88
71,2020-04-14,1857.08,1.72
72,2020-04-16,1857.07,0.0
73,2020-04-17,1914.53,3.09
74,2020-04-20,1898.36,-0.84
75,2020-04-21,1879.38,-1.0
76,2020-04-22,1896.15,0.89
77,2020-04-23,1914.73,0.98
78,2020-04-24,1889.01,-1.34
79,2020-04-27,1922.77,1.79
80,2020-04-28,1934.09,0.59
81,2020-04-29,1947.56,0.7
82,2020-05-04,1895.37,-2.68
83,2020-05-06,1928.76,1.76
84,2020-05-07,1928.61,-0.01
85,2020-05-08,1945.82,0.89
86,2020-05-11,1935.4,-0.54
87,2020-05-12,1922.17,-0.68
88,2020-05-13,1940.42,0.95
89,2020-05-14,1924.96,-0.8
90,2020-05-15,1927.28,0.12
91,2020-05-18,1937.11,0.51
92,2020-05-19,1980.61,2.25
93,2020-05-20,1989.64,0.46
94,2020-05-21,1998.31,0.44
95,2020-05-22,1970.13,-1.41
96,2020-05-25,1994.6,1.24
97,2020-05-26,2029.78,1.76
98,2020-05-27,2031.2,0.07
99,2020-05-28,2028.54,-0.13
100,2020-05-29,2029.6,0.05
101,2020-06-01,2065.08,1.75
102,2020-06-02,2087.19,1.07
103,2020-06-03,2147.0,2.87
104,2020-06-04,2151.18,0.19
105,2020-06-05,2181.87,1.43
106,2020-06-08,2184.29,0.11
107,2020-06-09,2188.92,0.21
108,2020-06-10,2195.69,0.31
109,2020-06-11,2176.78,-0.86
110,2020-06-12,2132.3,-2.04
111,2020-06-15,2030.82,-4.76
112,2020-06-16,2138.05,5.28
113,2020-06-17,2141.05,0.14
114,2020-06-18,2133.48,-0.35
115,2020-06-19,2141.32,0.37
116,2020-06-22,2126.73,-0.68
117,2020-06-23,2131.24,0.21
118,2020-06-24,2161.51,1.42
119,2020-06-25,2112.37,-2.27
120,2020-06-26,2134.65,1.05
121,2020-06-29,2093.48,-1.93
122,2020-06-30,2108.33,0.71
123,2020-07-01,2106.7,-0.08
124,2020-07-02,2135.37,1.36
125,2020-07-03,2152.41,0.8
126,2020-07-06,2187.93,1.65
127,2020-07-07,2164.17,-1.09
128,2020-07-08,2158.88,-0.24
129,2020-07-09,2167.9,0.42
130,2020-07-10,2150.25,-0.81
131,2020-07-13,2186.06,1.67
132,2020-07-14,2183.61,-0.11
133,2020-07-15,2201.88,0.84
134,2020-07-16,2183.76,-0.82
135,2020-07-17,2201.19,0.8
136,2020-07-20,2198.2,-0.14
137,2020-07-21,2228.83,1.39
138,2020-07-22,2228.66,-0.01
139,2020-07-23,2216.19,-0.56
140,2020-07-24,2200.44,-0.71
141,2020-07-27,2217.86,0.79
142,2020-07-28,2256.99,1.76
143,2020-07-29,2263.16,0.27
144,2020-07-30,2267.01,0.17
145,2020-07-31,2249.37,-0.78
146,2020-08-03,2251.04,0.07
147,2020-08-04,2279.97,1.29
148,2020-08-05,2311.86,1.4
149,2020-08-06,2342.61,1.33
150,2020-08-07,2351.67,0.39
151,2020-08-10,2386.38,1.48
152,2020-08-11,2418.67,1.35
153,2020-08-12,2432.35,0.57
154,2020-08-13,2437.53,0.21
155,2020-08-14,2407.49,-1.23
156,2020-08-18,2348.24,-2.46
157,2020-08-19,2360.54,0.52
158,2020-08-20,2274.22,-3.66
159,2020-08-21,2304.59,1.34
160,2020-08-24,2329.83,1.1
161,2020-08-25,2366.73,1.58
162,2020-08-26,2369.32,0.11
163,2020-08-27,2344.45,-1.05
164,2020-08-28,2353.8,0.4
165,2020-08-31,2326.17,-1.17
166,2020-09-01,2349.55,1.01
167,2020-09-02,2364.37,0.63
168,2020-09-03,2395.9,1.33
169,2020-09-04,2368.25,-1.15
170,2020-09-07,2384.22,0.67
171,2020-09-08,2401.91,0.74
172,2020-09-09,2375.81,-1.09
173,2020-09-10,2396.48,0.87
174,2020-09-11,2396.69,0.01
175,2020-09-14,2427.91,1.3
176,2020-09-15,2443.58,0.65
177,2020-09-16,2435.92,-0.31
178,2020-09-17,2406.17,-1.22
179,2020-09-18,2412.4,0.26
180,2020-09-21,2389.39,-0.95
181,2020-09-22,2332.59,-2.38
